Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2
Bangladesh,West Indies,West Indies,3 runs,Sharjah,2021/10/29,T20I # 1375,84.4,84.67,83.07,91.07,6,0,6,2,41.66
Australia,Sri Lanka,Australia,7 wickets,Dubai (DICS),2021/10/28,T20I # 1374,84.44,96.71,77.67,93.07,6,0,6,1,50.0
Namibia,Scotland,Namibia,4 wickets,Abu Dhabi,2021/10/27,T20I # 1371,92.0,86.13,94.6,87.67,0,0,3,0,100.0
Bangladesh,England,England,8 wickets,Abu Dhabi,2021/10/27,T20I # 1369,84.0,73.07,83.33,76.73,6,0,6,1,0.0
New Zealand,Pakistan,Pakistan,5 wickets,Sharjah,2021/10/26,T20I # 1367,76.67,81.13,82.07,88.13,6,0,6,1,41.66
South Africa,West Indies,South Africa,8 wickets,Dubai (DICS),2021/10/26,T20I # 1366,71.73,84.67,83.6,91.6,6,0,6,2,60.0
Afghanistan,Scotland,Afghanistan,130 runs,Sharjah,2021/10/25,T20I # 1364,81.6,86.0,83.07,87.47,4,0,3,0,100.0
India,Pakistan,Pakistan,10 wickets,Dubai (DICS),2021/10/24,T20I # 1361,84.33,81.47,85.33,88.93,6,1,6,1,75.0
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Sharjah,2021/10/24,T20I # 1357,85.13,96.71,83.6,93.14,6,0,6,1,36.36
England,West Indies,England,6 wickets,Dubai (DICS),2021/10/23,T20I # 1354,72.47,84.13,76.07,90.33,6,1,6,2,38.88
Australia,South Africa,Australia,5 wickets,Abu Dhabi,2021/10/23,T20I # 1351,84.78,71.6,79.44,84.73,6,0,6,0,61.9
Netherlands,Sri Lanka,Sri Lanka,8 wickets,Sharjah,2021/10/22,T20I # 1346,92.87,96.71,92.8,92.71,3,0,6,1,0.0
Ireland,Namibia,Namibia,8 wickets,Sharjah,2021/10/22,T20I # 1342,90.53,93.0,93.93,95.4,5,0,0,0,100.0
Oman,Scotland,Scotland,8 wickets,Al Amerat,2021/10/21,T20I # 1338,94.0,86.4,92.73,87.47,1,0,3,0,0.0
Bangladesh,PNG,Bangladesh,84 runs,Al Amerat,2021/10/21,T20I # 1334,84.93,94.67,83.33,98.53,6,0,0,0,0.0
Ireland,Sri Lanka,Sri Lanka,70 runs,Abu Dhabi,2021/10/20,T20I # 1331,89.6,96.57,93.0,92.5,5,0,6,1,100.0
Namibia,Netherlands,Namibia,6 wickets,Abu Dhabi,2021/10/20,T20I # 1327,93.33,92.73,96.0,92.73,0,0,3,0,0.0
Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,2021/10/19,T20I # 1322,93.73,85.73,92.4,83.07,1,0,6,0,0.0
PNG,Scotland,Scotland,17 runs,Al Amerat,2021/10/19,T20I # 1318,95.07,85.93,97.8,87.07,0,0,3,0,0.0
Namibia,Sri Lanka,Sri Lanka,7 wickets,Abu Dhabi,2021/10/18,T20I # 1313,93.67,96.5,95.8,91.79,0,0,6,1,0.0
Ireland,Netherlands,Ireland,7 wickets,Abu Dhabi,2021/10/18,T20I # 1312,90.93,92.6,93.53,93.53,5,0,3,0,0.0
Bangladesh,Scotland,Scotland,6 runs,Al Amerat,2021/10/17,T20I # 1311,85.53,85.6,82.93,86.6,6,0,3,0,0.0
Oman,PNG,Oman,10 wickets,Al Amerat,2021/10/17,T20I # 1307,94.87,96.33,92.53,97.27,1,0,0,0,0.0
England,Pakistan,England,5 wickets,Melbourne,2022/11/13,T20I # 1879,76.2,82.67,72.33,83.0,7,1,7,1,60.71
England,India,England,10 wickets,Adelaide,2022/11/10,T20I # 1878,77.6,79.13,72.53,71.67,7,1,7,1,45.45
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,2022/11/09,T20I # 1877,69.67,82.8,70.13,83.6,7,0,7,1,39.28
India,Zimbabwe,India,71 runs,Melbourne,2022/11/06,T20I # 1873,79.0,97.27,71.47,91.0,7,1,5,0,71.42
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,2022/11/06,T20I # 1872,98.27,83.13,83.2,83.33,7,0,7,1,11.76
Netherlands,South Africa,Netherlands,13 runs,Adelaide,2022/11/06,T20I # 1871,97.12,65.5,96.5,67.43,4,0,7,0,0.0
England,Sri Lanka,England,4 wickets,Sydney,2022/11/05,T20I # 1867,78.87,79.62,72.93,87.54,7,1,7,1,69.23
Australia,Afghanistan,Australia,4 runs,Adelaide,2022/11/04,T20I # 1864,75.33,85.87,73.6,82.87,7,1,5,0,0.0
Ireland,New Zealand,New Zealand,35 runs,Adelaide,2022/11/04,T20I # 1862,93.53,70.07,98.4,69.6,6,0,7,0,0.0
Pakistan,South Africa,Pakistan,33 runs,Sydney,2022/11/03,T20I # 1861,83.2,66.71,83.73,67.14,7,1,7,0,52.38
Bangladesh,India,India,5 runs,Adelaide,2022/11/02,T20I # 1860,98.2,78.53,84.07,70.73,7,0,7,1,9.0
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,2022/11/02,T20I # 1859,97.19,97.8,97.31,91.33,4,0,5,0,25.0
England,New Zealand,England,20 runs,Brisbane,2022/11/01,T20I # 1858,81.13,69.87,72.8,69.4,7,1,7,0,54.54
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,2022/11/01,T20I # 1856,86.33,80.31,82.93,87.31,5,0,7,1,33.33
Australia,Ireland,Australia,42 runs,Brisbane,2022/10/31,T20I # 1855,75.2,94.13,73.0,98.0,7,1,6,0,100.0
India,South Africa,South Africa,5 wickets,Perth,2022/10/30,T20I # 1853,78.27,66.21,71.33,69.71,7,1,7,0,56.52
Netherlands,Pakistan,Pakistan,6 wickets,Perth,2022/10/30,T20I # 1852,96.81,83.0,95.88,84.87,4,0,7,1,0.0
